vergara,sofiavergara@gmail.com,123456,0731670034,NONE,103
mariapop7,mariapop702@yahoo.com,123456,0738473344,NONE,115
ioanapetresco01,ioanapetresco@yahoo.com,123456,071287654,NONE,109
q,q,q,q,NONE,17
scarla,catalinscarla@gmail.com ,123456,0738473344,NONE,100
schiele,schieleegon@yahoo.com,123456,0738990024,NONE,102
marian304,marian@yahoo.com,123456,07234567,NONE,111
marianstanciu,marianstanciu@yahoo.com,123456,072345676,NONE,112
denden,denden@yahoo.com,123456,0712345987,NONE,15
titu,andreititu@gmail.com,123456,079765432,NONE,110
hannibal01,hannibal01@yahoo.com,123456,0738473344,NONE,101
andreea16,andreea.stanciu16@s.unibuc.ro,123456,071234567,NONE,14
